Absolute path;Relative path;Class
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0002.txt;dataset_copy\1\0002.txt;0002.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0005.txt;dataset_copy\1\0005.txt;0005.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0008.txt;dataset_copy\1\0008.txt;0008.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0017.txt;dataset_copy\1\0017.txt;0017.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0025.txt;dataset_copy\1\0025.txt;0025.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0027.txt;dataset_copy\1\0027.txt;0027.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0031.txt;dataset_copy\1\0031.txt;0031.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0034.txt;dataset_copy\1\0034.txt;0034.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0036.txt;dataset_copy\1\0036.txt;0036.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0040.txt;dataset_copy\1\0040.txt;0040.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0065.txt;dataset_copy\1\0065.txt;0065.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0072.txt;dataset_copy\1\0072.txt;0072.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0074.txt;dataset_copy\1\0074.txt;0074.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0077.txt;dataset_copy\1\0077.txt;0077.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0080.txt;dataset_copy\1\0080.txt;0080.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0081.txt;dataset_copy\1\0081.txt;0081.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0086.txt;dataset_copy\1\0086.txt;0086.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0087.txt;dataset_copy\1\0087.txt;0087.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0093.txt;dataset_copy\1\0093.txt;0093.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0106.txt;dataset_copy\1\0106.txt;0106.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0111.txt;dataset_copy\1\0111.txt;0111.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0118.txt;dataset_copy\1\0118.txt;0118.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0126.txt;dataset_copy\1\0126.txt;0126.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0128.txt;dataset_copy\1\0128.txt;0128.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0154.txt;dataset_copy\1\0154.txt;0154.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0163.txt;dataset_copy\1\0163.txt;0163.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0177.txt;dataset_copy\1\0177.txt;0177.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0179.txt;dataset_copy\1\0179.txt;0179.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0181.txt;dataset_copy\1\0181.txt;0181.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0194.txt;dataset_copy\1\0194.txt;0194.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0208.txt;dataset_copy\1\0208.txt;0208.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0218.txt;dataset_copy\1\0218.txt;0218.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0221.txt;dataset_copy\1\0221.txt;0221.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0226.txt;dataset_copy\1\0226.txt;0226.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0268.txt;dataset_copy\1\0268.txt;0268.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0283.txt;dataset_copy\1\0283.txt;0283.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0289.txt;dataset_copy\1\0289.txt;0289.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0299.txt;dataset_copy\1\0299.txt;0299.txt
